title|overview|genres_|keywords_
Avatar|In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.|Action_Adventure_Fantasy_Science Fiction|culture clash_future_space war_space colony_society_space travel_futuristic_romance_space_alien_tribe_alien planet_cgi_marine_soldier_battle_love affair_anti war_power relations_mind and soul_3d
Pirates of the Caribbean: At World's End|Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.|Adventure_Fantasy_Action|ocean_drug abuse_exotic island_east india trading company_love of one's life_traitor_shipwreck_strong woman_ship_alliance_calypso_afterlife_fighter_pirate_swashbuckler_aftercreditsstinger
Spectre|A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.|Action_Adventure_Crime|spy_based on novel_secret agent_sequel_mi6_british secret service_united kingdom
The Dark Knight Rises|Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.|Action_Crime_Drama_Thriller|dc comics_crime fighter_terrorist_secret identity_burglar_hostage drama_time bomb_gotham city_vigilante_cover-up_superhero_villainess_tragic hero_terrorism_destruction_catwoman_cat burglar_imax_flood_criminal underworld_batman
John Carter|John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands.|Action_Adventure_Science Fiction|based on novel_mars_medallion_space travel_princess_alien_steampunk_martian_escape_edgar rice burroughs_alien race_superhuman strength_mars civilization_sword and planet_19th century_3d
Spider-Man 3|The seemingly invincible Spider-Man goes up against an all-new crop of villain – including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.|Fantasy_Action_Adventure|dual identity_amnesia_sandstorm_love of one's life_forgiveness_spider_wretch_death of a friend_egomania_sand_narcism_hostility_marvel comic_sequel_superhero_revenge
Tangled|When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs.|Animation_Family|hostage_magic_horse_fairy tale_musical_princess_animation_tower_blonde woman_selfishness_healing power_based on fairy tale_duringcreditsstinger_healing gift_animal sidekick
Avengers: Age of Ultron|When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.|Action_Adventure_Science Fiction|marvel comic_sequel_superhero_based on comic book_vision_superhero team_duringcreditsstinger_marvel cinematic universe_3d
Harry Potter and the Half-Blood Prince|As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past.|Adventure_Fantasy_Family|witch_magic_broom_school of witchcraft_wizardry_apparition_teenage crush_werewolf
Batman v Superman: Dawn of Justice|Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.|Action_Adventure_Fantasy|dc comics_vigilante_superhero_based on comic book_revenge_super powers_clark kent_bruce wayne_dc extended universe
